host,status,grade,score,verdict,ad_requests,ad_domains,ad_slots,sticky_ads,popups,trackers,ad_weight_pct,refs,starred,pages,url,checked_utc,error
armorgames.com,,F,0.0,Ad-saturated / hostile,219,55,7,0,0,0,51.7,2,2,Gaming,https://armorgames.com/,2026-08-13T17:57:57+00:00,
brickset.com,online,F,0.0,Ad-saturated / hostile,361,100,10,1,0,3,96.1,4,0,Educational Misc,https://brickset.com/,2026-08-18T20:01:14+00:00,
distrowatch.com,online,F,0.0,Ad-saturated / hostile,125,18,5,1,0,0,40.8,7,0,Linux,https://distrowatch.com/dwres.php?resource=popularity,2026-08-18T18:32:04+00:00,
eaglercraft.com,,F,0.0,Ad-saturated / hostile,200,52,5,3,0,1,54.1,2,2,Gaming,https://eaglercraft.com/,2026-08-13T17:57:57+00:00,
gamebanana.com,online,F,0.0,Ad-saturated / hostile,549,106,5,1,0,20,86.7,3,0,Gaming,https://gamebanana.com/mods/games/6878,2026-08-19T02:47:14+00:00,
l-lists.com,online,F,0.0,Ad-saturated / hostile,75,9,6,0,0,0,81.6,4,0,Educational Misc,https://l-lists.com/en/lists/55cbww.html,2026-08-19T02:47:14+00:00,
macapps.link,,F,0.0,Ad-saturated / hostile,114,8,6,1,0,1,34.4,1,1,Linux,https://macapps.link/en/,2026-08-14T17:12:05+00:00,
number.academy,,F,0.0,Ad-saturated / hostile,217,18,10,1,0,4,78.8,2,2,Educational,https://number.academy/,2026-08-13T17:57:57+00:00,
phonedb.net,online,F,0.0,Ad-saturated / hostile,63,8,5,1,0,3,66.6,1,1,Misc,https://phonedb.net/,2026-08-18T17:22:03+00:00,
receive-sms.cc,,F,0.0,Ad-saturated / hostile,268,56,6,0,0,0,77.6,2,2,Storage,https://receive-sms.cc/,2026-08-13T20:28:46+00:00,
seriesgraph.com,,F,0.0,Ad-saturated / hostile,312,69,5,2,0,1,37.8,2,2,Streaming,https://seriesgraph.com/,2026-08-13T20:28:46+00:00,
sporked.com,,F,0.0,Ad-saturated / hostile,330,84,5,1,0,3,85.0,2,2,Misc,https://sporked.com/,2026-08-13T18:14:19+00:00,
strims24.pl,,F,0.0,Ad-saturated / hostile,62,7,6,1,0,0,66.2,2,1,Non-Eng Streaming,https://strims24.pl/,2026-08-14T14:46:47+00:00,
technical.city,online,F,0.0,Ad-saturated / hostile,1008,92,11,1,0,7,30.8,1,1,Misc,https://technical.city/,2026-08-18T17:22:03+00:00,
tiermaker.com,,F,0.0,Ad-saturated / hostile,226,54,11,1,0,4,17.0,2,2,Misc,https://tiermaker.com/,2026-08-13T18:14:19+00:00,
www.apkmirror.com,,F,0.0,Ad-saturated / hostile,53,22,6,0,0,3,72.7,2,2,Mobile,https://www.apkmirror.com/,2026-08-13T18:14:19+00:00,
www.atlasobscura.com,,F,0.0,Ad-saturated / hostile,205,59,5,0,0,25,29.1,2,2,Misc,https://www.atlasobscura.com/,2026-08-13T18:14:19+00:00,
www.bhg.com,,F,0.0,Ad-saturated / hostile,194,54,7,0,0,4,41.1,1,1,Misc,https://www.bhg.com/gardening/how-to-garden/,2026-08-14T17:12:05+00:00,
www.braceletbook.com,online,F,0.0,Ad-saturated / hostile,518,89,8,0,0,6,48.2,4,0,Educational Misc,https://www.braceletbook.com/,2026-08-18T20:01:14+00:00,
www.caffeineinformer.com,,F,0.0,Ad-saturated / hostile,397,93,6,0,0,3,80.0,2,2,Misc,https://www.caffeineinformer.com/death-by-caffeine,2026-08-13T18:14:19+00:00,
www.cgdirector.com,,F,0.0,Ad-saturated / hostile,695,60,15,1,0,1,61.0,1,1,Misc,https://www.cgdirector.com/pc-builder/,2026-08-14T17:12:05+00:00,
www.godchecker.com,,F,0.0,Ad-saturated / hostile,134,10,5,1,0,4,70.7,2,2,Educational,https://www.godchecker.com/,2026-08-13T17:57:57+00:00,
www.goodnewsnetwork.org,,F,0.0,Ad-saturated / hostile,376,58,7,1,0,4,44.8,2,2,Misc,https://www.goodnewsnetwork.org/,2026-08-13T18:14:19+00:00,
www.gsmarena.com,,F,0.0,Ad-saturated / hostile,398,90,9,2,0,3,80.8,3,3,Misc,https://www.gsmarena.com/,2026-08-13T16:09:28+00:00,
www.handspeak.com,,F,0.0,Ad-saturated / hostile,461,76,6,2,0,0,39.4,1,1,Educational,https://www.handspeak.com/,2026-08-14T14:46:47+00:00,
www.merriam-webster.com,,F,0.0,Ad-saturated / hostile,377,84,5,1,0,11,32.3,4,2,Educational,https://www.merriam-webster.com/,2026-08-13T16:09:28+00:00,
www.physicsclassroom.com,,F,0.0,Ad-saturated / hostile,176,54,4,2,0,3,55.6,1,1,Educational,https://www.physicsclassroom.com/,2026-08-14T14:46:47+00:00,
www.tunefind.com,,F,0.0,Ad-saturated / hostile,417,81,8,0,0,1,66.4,2,2,Music,https://www.tunefind.com/,2026-08-13T18:14:19+00:00,
www.unikey.org,,F,0.0,Ad-saturated / hostile,121,11,6,2,0,3,70.4,2,2,Non-Eng,https://www.unikey.org/,2026-08-13T20:28:46+00:00,
www.urbandictionary.com,,F,0.0,Ad-saturated / hostile,188,59,8,0,0,1,59.1,2,2,Educational,https://www.urbandictionary.com/,2026-08-13T17:57:57+00:00,
xdaforums.com,,F,0.0,Ad-saturated / hostile,43,22,7,0,0,4,40.0,20,6,Downloading Mobile Streaming,https://xdaforums.com/t/app-guides-unofficial-morphe-megathread.4774994/,2026-08-13T16:09:28+00:00,
